config	hugepages	vusers	iter	nopm	tpm
linux	on	8	1	25249	58459
linux	on	8	2	27796	64328
linux	on	8	3	31279	72209
linux	on	16	1	54745	125959
linux	on	16	2	54109	124104
linux	on	16	3	54928	126796
linux	on	32	1	80789	185458
linux	on	32	2	85653	197308
linux	on	32	3	86395	198745
linux	on	64	1	114212	261419
linux	on	64	2	115463	265891
linux	on	64	3	115908	266837
linux	off	8	1	39235	90493
linux	off	8	2	39382	90644
linux	off	8	3	39201	90075
linux	off	16	1	61132	140501
linux	off	16	2	61124	140709
linux	off	16	3	61003	140505
linux	off	32	1	93554	215007
linux	off	32	2	89324	205448
linux	off	32	3	89820	206979
linux	off	64	1	110106	252687
linux	off	64	2	103826	237827
linux	off	64	3	103742	238664
