config	smp	netqp	metric	clients	value	raw_iters	notes
osv-kvm-mq	16	16	pgbench-rw-tps	1	232.977880	232.977880 245.614929 232.056229	MQ-on nqp=16 fresh-pool 0failed
osv-kvm-mq	16	16	pgbench-rw-tps	8	1636.275708	1616.149338 1636.275708 1657.045842	MQ-on nqp=16 fresh-pool 0failed
osv-kvm-mq	16	16	pgbench-rw-tps	16	0	0 0 0	MQ-on RESEED-EIO invalid
osv-kvm-mq	16	16	pgbench-rw-tps	32	0	0 0 0	MQ-on RESEED-EIO invalid
osv-kvm-mq	16	16	pgbench-rw-tps	64	2220.795430	2135.944756 2220.795430 2337.259464	MQ-on nqp=16 fresh-pool 0failed
osv-kvm-mq	16	16	pgbench-ro-tps	8	24085.239497	13688.695366 24085.239497 27868.806670	MQ-on nqp=16 0failed
osv-kvm-mq	16	16	pgbench-ro-tps	16	25273.733934	25273.733934 25100.394178 25383.638233	MQ-on nqp=16 0failed
osv-kvm-mq	16	16	pgbench-ro-tps	32	23773.710063	23376.610713 23773.710063 23802.632294	MQ-on nqp=16 0failed
osv-kvm-mq	16	16	pgbench-ro-tps	64	22636.459646	22532.164706 23118.850528 22636.459646	MQ-on nqp=16 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	8	32805.524883	17990.330697 32805.524883 35348.743490	CONTROL nqp=1 mq=off 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	16	63213.194561	63250.830188 63213.194561 62520.688799	CONTROL nqp=1 mq=off 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	32	29597.715832	29597.715832 30210.747811 27811.715591	CONTROL nqp=1 mq=off 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	64	21751.512682	21578.125925 21751.512682 23035.746913	CONTROL nqp=1 mq=off 0failed
osv-kvm-mq	4	4	pgbench-rw-tps	1	265.334129	271.094776 265.334129 263.450042	MQ-on nqp=4 fresh-pool 0failed
osv-kvm-mq	4	4	pgbench-rw-tps	8	0	0 0 0	MQ-on RESEED-EIO invalid
osv-kvm-mq	4	4	pgbench-rw-tps	16	0	0 0 0	MQ-on RESEED-EIO invalid
osv-kvm-mq	4	4	pgbench-rw-tps	32	2323.312099	2162.187884 2323.312099 2496.548697	MQ-on nqp=4 fresh-pool 0failed
osv-kvm-mq	4	4	pgbench-rw-tps	64	2258.405982	2184.925384 2258.405982 2334.100436	MQ-on nqp=4 fresh-pool 0failed
osv-kvm-mq	4	4	pgbench-ro-tps	8	23706.326905	13713.677305 23706.326905 29418.364363	MQ-on nqp=4 0failed
osv-kvm-mq	4	4	pgbench-ro-tps	16	25058.831979	25399.238008 24519.207962 25058.831979	MQ-on nqp=4 0failed
osv-kvm-mq	4	4	pgbench-ro-tps	32	22993.359826	21845.524152 23275.548412 22993.359826	MQ-on nqp=4 0failed
osv-kvm-mq	4	4	pgbench-ro-tps	64	22958.824143	22570.251992 22958.824143 23718.319256	MQ-on nqp=4 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	8	32587.715376	16326.408561 32587.715376 35342.654280	CONTROL nqp=1 run2 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	16	66795.312948	58429.806915 66997.236467 66795.312948	CONTROL nqp=1 run2 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	32	27765.021584	27530.358472 27765.021584 30130.990120	CONTROL nqp=1 run2 0failed
osv-kvm-mq	16	1	pgbench-ro-tps	64	20252.171919	20252.171919 22108.893721 0	CONTROL nqp=1 run2 0failed
osv-kvm-mq	16	1	pgbench-rw-tps	1	0	0 0 0	CONTROL nqp=1 RESEED-EIO invalid
