config	recordsize	hugepages	metric	clients	value	raw_iters	notes
linux	8k	off	pgbench-rw-tps	1	232.983256	325.523367 226.556211 232.983256	ext-driver
linux	8k	off	pgbench-rw-tps	8	1800.915957	1800.915957 1729.327864 2010.069515	ext-driver
linux	8k	off	pgbench-rw-tps	16	5421.201357	5286.873965 5421.201357 5496.703040	ext-driver
linux	8k	off	pgbench-rw-tps	32	10745.976802	10759.946732 10745.976802 10694.194915	ext-driver
linux	8k	off	pgbench-rw-tps	64	18875.550793	19190.699254 16156.651333 18875.550793	ext-driver
linux	8k	off	pgbench-ro-tps	8	56305.376940	55778.634725 56305.376940 56750.068602	ext-driver
linux	8k	off	pgbench-ro-tps	32	204565.092644	201780.506577 204565.092644 204938.774549	ext-driver
linux	8k	off	hammerdb-nopm	8	40616	41596 39312 40616	ext-driver
linux	8k	off	hammerdb-tpm	8	93461	95769 90259 93461	ext-driver
linux	8k	off	hammerdb-nopm	16	61166	59425 61270 61166	ext-driver
linux	8k	off	hammerdb-tpm	16	140401	136503 141619 140401	ext-driver
linux	8k	off	hammerdb-nopm	32	88373	88373 91023 86513	ext-driver
linux	8k	off	hammerdb-tpm	32	203512	203512 208794 199609	ext-driver
linux	8k	off	hammerdb-nopm	64	127796	128723 112174 127796	ext-driver
linux	8k	off	hammerdb-tpm	64	294420	295024 258216 294420	ext-driver
linux	32k	off	pgbench-rw-tps	1	313.835523	313.835523 311.086776 315.562296	ext-driver
linux	32k	off	pgbench-rw-tps	8	2513.516305	2498.779170 2513.516305 2535.364605	ext-driver
linux	32k	off	pgbench-rw-tps	16	5285.442074	5134.102676 5326.020288 5285.442074	ext-driver
linux	32k	off	pgbench-rw-tps	32	10057.069676	10063.842648 10057.069676 9939.720844	ext-driver
linux	32k	off	pgbench-rw-tps	64	17976.179732	18015.009386 17976.179732 17757.237283	ext-driver
linux	32k	off	pgbench-ro-tps	8	55555.153627	55555.153627 55532.122316 56743.453377	ext-driver
linux	32k	off	pgbench-ro-tps	32	201460.697476	200030.882726 201460.697476 206022.419325	ext-driver
linux	32k	off	hammerdb-nopm	8	55265	54886 55337 55265	ext-driver
linux	32k	off	hammerdb-tpm	8	127157	126347 127157 127573	ext-driver
linux	32k	off	hammerdb-nopm	16	89000	86859 89000 91304	ext-driver
linux	32k	off	hammerdb-tpm	16	204662	200345 204662 209566	ext-driver
linux	32k	off	hammerdb-nopm	32	125228	128516 125228 122283	ext-driver
linux	32k	off	hammerdb-tpm	32	288588	296189 288588 281518	ext-driver
linux	32k	off	hammerdb-nopm	64	177313	177313 164960 179275	ext-driver
linux	32k	off	hammerdb-tpm	64	408209	408209 379008 411475	ext-driver
osv-kvm	8k	off	pgbench-rw-tps	1	269.787415	262.897481 269.787415 270.986070	ext-driver
osv-kvm	8k	off	pgbench-rw-tps	8	1756.048048	1747.625986 1756.048048 1762.000359	ext-driver
osv-kvm	8k	off	pgbench-rw-tps	16	3488.755919	3399.067339 3488.755919 3509.065493	ext-driver
osv-kvm	8k	off	pgbench-rw-tps	32	2833.397737	5749.635629 2797.304975 2833.397737	ext-driver
osv-kvm	8k	off	pgbench-rw-tps	64	2750.397869	2887.397387 2750.397869 2745.550664	ext-driver
osv-kvm	8k	off	pgbench-ro-tps	8	27929.176062	21613.175851 27929.176062 29505.982625	ext-driver
osv-kvm	8k	off	pgbench-ro-tps	32	22306.738273	22306.738273 22295.555979 22635.248840	ext-driver
osv-kvm	32k	off	pgbench-rw-tps	1	276.092392	276.092392 277.152065 269.228910	ext-driver
osv-kvm	32k	off	pgbench-rw-tps	8	1740.961579	1713.282991 1740.961579 1795.103051	ext-driver
osv-kvm	32k	off	pgbench-rw-tps	16	3359.115690	3324.201629 3359.115690 3375.327444	ext-driver
osv-kvm	32k	off	pgbench-rw-tps	32	2793.258750	4820.447942 2793.258750 2736.705904	ext-driver
osv-kvm	32k	off	pgbench-rw-tps	64	2700.946006	2717.744431 2700.946006 2682.199801	ext-driver
osv-kvm	32k	off	pgbench-ro-tps	8	21698.559848	21698.559848 25377.472820 0	ext-driver
osv-kvm	32k	off	pgbench-ro-tps	32	21633.203986	20185.018102 21633.203986 22033.580798	ext-driver
osv-fc	8k	off	pgbench-rw-tps	1	138.810900	124.173479 139.398303 138.810900	ext-driver
osv-fc	8k	off	pgbench-rw-tps	8	328.586463	328.586463 337.103953 327.510359	ext-driver
osv-fc	8k	off	pgbench-rw-tps	16	614.640246	619.804273 614.640246 607.279365	ext-driver
osv-fc	8k	off	pgbench-rw-tps	32	873.028941	994.894285 873.028941 856.968135	ext-driver
osv-fc	8k	off	pgbench-rw-tps	64	1420.083253	1454.299383 1408.059682 1420.083253	ext-driver
osv-fc	8k	off	pgbench-ro-tps	8	14655.679168	11807.295014 14655.679168 17172.496065	ext-driver
osv-fc	8k	off	pgbench-ro-tps	32	15209.268656	0 15209.268656 18903.765583	ext-driver
