config	hugepages	mode	clients	tps_median	lat_median_ms	tps_spread	tps_all	lat_all
linux	off	rw	1	411.861209	2.428	10.24	401.970753 411.861209 412.213321	2.488 2.428 2.426
linux	off	rw	4	1482.690412	2.698	31.22	1505.304174 1482.690412 1474.088916	2.657 2.698 2.714
linux	off	rw	8	2916.877662	2.743	147.04	2971.428434 2916.877662 2824.385867	2.692 2.743 2.832
linux	off	rw	16	5317.367430	3.009	399.72	5317.367430 5055.929682 5455.644884	3.009 3.165 2.933
linux	off	rw	32	8272.397698	3.868	1344.64	7778.241511 9122.886014 8272.397698	4.114 3.508 3.868
linux	off	rw	64	12166.694173	5.260	673.63	11915.627597 12166.694173 12589.258003	5.371 5.260 5.084
linux	off	ro	1	5209.919174	0.192	453.30	5209.919174 5199.299249 5652.594852	0.192 0.192 0.177
linux	off	ro	8	50541.229578	0.158	7723.31	46502.271812 50541.229578 54225.579384	0.172 0.158 0.148
linux	off	ro	16	98154.856923	0.163	3568.66	96974.442622 100543.107516 98154.856923	0.165 0.159 0.163
linux	off	ro	32	163344.544084	0.196	4215.01	163344.544084 161955.773280 166170.782074	0.196 0.198 0.193
linux	off	ro	64	250469.212223	0.256	4953.78	250469.212223 246427.817333 251381.601573	0.256 0.260 0.255
linux	on	rw	1	403.212815	2.480	3.44	402.129562 405.569249 403.212815	2.487 2.466 2.480
linux	on	rw	4	1468.114555	2.725	11.64	1471.657984 1468.114555 1460.021511	2.718 2.725 2.740
linux	on	rw	8	2951.068886	2.711	33.44	2952.077922 2951.068886 2918.639760	2.710 2.711 2.741
linux	on	rw	16	5554.080415	2.881	138.89	5586.568062 5554.080415 5447.676099	2.864 2.881 2.937
linux	on	rw	32	9543.394808	3.353	762.39	9181.041754 9543.394808 9943.436343	3.485 3.353 3.218
linux	on	rw	64	12207.510741	5.243	1056.46	12207.510741 13259.385083 12202.924359	5.243 4.827 5.245
linux	on	ro	1	5522.755992	0.181	33.12	5528.590103 5495.469727 5522.755992	0.181 0.182 0.181
linux	on	ro	8	54019.332071	0.148	7286.99	48575.935912 54019.332071 55862.929127	0.165 0.148 0.143
linux	on	ro	16	101219.013793	0.158	1189.40	100748.381987 101219.013793 101937.780200	0.159 0.158 0.157
linux	on	ro	32	164592.744360	0.194	3132.87	164454.034274 164592.744360 167586.903647	0.195 0.194 0.191
linux	on	ro	64	251999.614234	0.254	2833.57	252025.317435 251999.614234 249191.745472	0.254 0.254 0.257
